grand_prix,session_type,driver_name,timestamp,message_text
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T12:52:46.360000Z,Radio check.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T12:52:47.618000Z,Check. You're allowed extra hit.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T12:52:51.650000Z,"Check, so I can't..."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T12:57:59.106000Z,"OK, tyres, it's just..."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T12:57:59.832000Z,"Tyres, I mean, it's just over two minutes to go."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T12:58:01.624000Z,Let's go. Two cars ahead of you.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T12:58:03.800000Z,Ocon and Carlos on the soft.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T12:58:07.576000Z,13 on the soft. Hulkenberg P9 on the soft.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T12:58:10.584000Z,Also Hamilton and Verstappen.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T12:58:13.634000Z,Everyone else ahead of you on the medium.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T12:58:18.008000Z,Everyone on hard brake.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T12:58:19.544000Z,"On hard bar, Bottas, B20 on the medium."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T12:58:25.304000Z,Because I made the airhead on soft.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T12:58:27.842000Z,Three out of the four cars behind on high.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T12:59:29.730000Z,Limits you're on.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:00:06.381000Z,Back to five.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:00:09.112000Z,To the lottery. Go for it.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:00:46.744000Z,Ten seconds for the whole race.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:02:27.992000Z,Radio check.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:02:43.181000Z,Soft. That was an error in the number 6.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:02:44.973000Z,Number 6. Paris behind on soft.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:03:15.288000Z,"Go, start, left, right."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:05:11.384000Z,Double push and hold if you need it. Go race when you can.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:05:33.890000Z,That's what was currently on.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:08:02.562000Z,"OK, settle in and we're in status 4."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:08:04.376000Z,Status 4. Status 4.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:08:31.256000Z,Turn 180.0. What's that?
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:10:25.816000Z,"Dura-Binder on the 13th, 14th."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:11:51.170000Z,A3 was a potential gust at last lap.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:12:41.794000Z,Suggest the best can find it.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:13:24.162000Z,"Can you give me a window tape, please?"
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:13:46.242000Z,My tyres dominated by the chair from the car that hit me.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:13:48.952000Z,"So, front left is on the high side."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:13:49.698000Z,"Left is on the high side overheating, so just 12."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:13:51.384000Z,"Meeting, so just 12, 13 places to go."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:15:12.920000Z,"Blue 11, position 8."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:15:13.688000Z,Position 8. Blue 11. Position.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:15:34.680000Z,The window for the safety car is open.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:16:17.090000Z,"Yes, some more help in high speed turn 9."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:16:20.824000Z,"Turn 13, understeer."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:16:25.048000Z,Everything else is generally oversteer.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:16:37.421000Z,Turn 9 to just stop in the car by our entries for upsliding.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:16:40.877000Z,"Cross cars, we're pushing ball through three, entry three, so if you can manage a bit more there, it might help on the left."
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:17:02.040000Z,I'm happy to use Portogal at 9 as well.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:17:21.325000Z,Push-throttle at 7. Push-throttle.
2026 Barcelona-Catalunya Grand Prix,Race,Alexander Albon,2026-06-14T13:18:07.384000Z,"0 for 9, 13, 14."
